Gemeindecode;Gemeindename;Einwohner;Veränderung in %;Bevölkerungs-dichte pro km²;Ausländer in %;0-19 Jahre;20-64 Jahre;65 Jahre und mehr;Rohe Heiratssziffer;Rohe Scheidungsziffer;Rohe Geburtenziffer;Rohe Sterbeziffer;Anzahl Privathaushalte;Durchschnittliche Haushaltsgrösse in Personen;Gesamtfläche in km²;Siedlungsfläche in %;Veränderung in ha;Landwirtschafts-fläche in %;Veränderung in ha;Wald und Gehölze in %;Unproduktive Fläche in %;Beschäftigte total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Arbeitsstätten total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Leerwohnungs-ziffer;Neu gebaute Wohnungen pro 1000 Einwohner;Sozialhilfequote;FDP 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Kleine Rechtsparteien
;Schweiz;8,419,550;7.0;211;24.6;20.1;61.9;18.0;5.0;2.0;10.5;7.8;3,682,475;2.2;41,285;7.5;58,422;35.9;-85,071;31.3;25.3;5,078,915;164,752;1,086,130;3,828,033;675,506;55,843;96,294;523,369;1.45;6.4;3.3;16.4;11.6;18.8;29.4;2.1;4.6;4.1;0.9;7.1;2.6
1;Aeugst am Albis;1,977;8.4;250;12.8;21.8;62.0;16.2;2.5;3.0;7.1;9.1;815;2.4;7.9;12.6;21;51.3;-22;30.9;5.2;427;36;14;377;141;15;13;113;2.58;0.0;0.8;18.7;2.1;18.6;30.9;3.5;8.4;2.6;0.2;7.1;4.9
2;Affoltern am Albis;11,900;7.3;1,124;27.0;19.7;63.0;17.3;5.2;1.4;11.9;7.4;5,053;2.3;10.6;30.8;94;40.1;-93;28.2;0.9;6,351;52;1,198;5,101;951;24;130;797;1.23;7.1;3.4;14.2;4.6;19.1;33.8;5.5;7.4;4.2;0.2;6.2;1.8
3;Bonstetten;5,435;5.3;731;14.0;24.0;61.2;14.8;5.4;1.9;10.8;3.7;2,260;2.4;7.5;15.6;24;55.4;-21;28.6;0.4;991;33;124;834;269;13;28;228;1.77;1.9;0.9;16.5;3.4;20.4;29.1;3.1;11.9;3.8;0.1;6.7;1.9
4;Hausen am Albis;3,571;6.3;263;13.6;22.2;60.7;17.1;4.5;2.0;7.7;8.5;1,466;2.4;13.7;12.6;33;55.8;-31;29.0;2.6;1,086;109;150;827;259;40;35;184;0.86;3.5;1.0;12.8;2.9;19.4;34.9;2.6;8.7;4.7;0.2;8.0;1.8
5;Hedingen;3,687;8.1;565;14.9;22.8;62.3;14.8;7.6;1.4;7.3;4.6;1,507;2.4;6.5;19.9;44;46.2;-43;33.2;0.6;1,534;30;732;772;199;12;25;162;1.44;3.0;1.7;15.8;3.9;22.5;30.1;3.6;9.6;3.8;0.2;6.5;1.8
6;Kappel am Albis;1,110;20.9;140;14.3;25.2;60.7;14.1;2.8;1.9;18.7;3.7;441;2.5;7.8;8.3;12;70.0;-12;20.6;1.1;333;58;76;199;100;22;21;57;2.62;1.0;0.9;11.0;2.7;10.3;48.6;6.6;5.6;5.1;0.3;4.4;2.8
7;Knonau;2,168;20.4;335;16.3;23.4;61.4;15.3;3.8;0.9;15.0;8.0;859;2.5;6.5;18.0;19;62.2;-21;17.2;2.6;533;60;139;334;127;24;16;87;1.51;3.3;0.8;11.5;3.1;18.4;32.9;6.2;10.4;5.9;0.0;5.8;3.4
8;Maschwanden;626;1.6;133;12.3;23.4;60.8;15.8;3.2;3.2;15.8;6.3;257;2.4;4.7;9.0;-5;59.6;0;23.7;7.7;147;50;34;63;61;20;7;34;4.33;0.0;X;4.9;3.5;22.7;43.4;3.7;4.9;3.5;0.6;5.2;2.1
9;Mettmenstetten;4,861;14.6;373;14.2;21.8;61.8;16.4;5.5;2.7;10.5;5.0;1,946;2.5;13.1;15.9;65;64.2;-70;18.6;1.2;1,713;152;566;995;315;46;54;215;1.54;14.6;1.3;13.2;3.6;18.8;35.7;3.5;9.6;4.4;0.1;5.1;3.6
